Unicode equivalent name,Unicode equivalent,WL named character (Unicode representation),WL named character
LATIN CAPITAL LETTER BETA,U+0A7B4,U+00392,\[CapitalBeta]
GREEK CAPITAL LETTER XI,U+0039E,U+003A7,\[CapitalChi]
MATHEMATICAL ITALIC CAPITAL D,U+1D437,U+0F74B,\[CapitalDifferentialD]
PLACE OF INTEREST SIGN,U+02318,U+0F76A,\[CommandKey]
MATHEMATICAL DOUBLE-STRUCK SMALL C,U+1D554,U+0F6E8,\[DoubleStruckC]
VECTOR OR CROSS PRODUCT,U+02A2F,U+0F4A0,\[Cross]
GREEK CAPITAL LETTER DELTA,U+00394,U+02206,\[DifferenceDelta]
MATHEMATICAL ITALIC SMALL D,U+1D451,U+0F74C,\[DifferentialD]
RIGHTWARDS ARROW,U+02192,U+0F525,\[ShortRightArrow]
GREEK CAPITAL THETA SYMBOL,U+003F4,U+0F4A4,\[DiscreteRatio]
LATIN CAPITAL LETTER I,U+00049,U+00131,\[DotlessI]
LATIN CAPITAL LETTER J,U+0004A,U+0F700,\[DotlessJ]
SQUARE FOUR CORNERS,U+026F6,U+0F751,\[DottedSquare]
DOUBLE-STRUCK SMALL GAMMA,U+0213D,U+0F74A,\[DoubledGamma]
DOUBLE-STRUCK SMALL PI,U+0213C,U+0F749,\[DoubledPi]
MATHEMATICAL DOUBLE-STRUCK SMALL A,U+1D552,U+0F6E6,\[DoubleStruckA]
MATHEMATICAL DOUBLE-STRUCK SMALL B,U+1D553,U+0F6E7,\[DoubleStruckB]
MATHEMATICAL DOUBLE-STRUCK CAPITAL A,U+1D538,U+0F7A4,\[DoubleStruckCapitalA]
MATHEMATICAL DOUBLE-STRUCK CAPITAL B,U+1D539,U+0F7A5,\[DoubleStruckCapitalB]
DOUBLE-STRUCK CAPITAL C,U+02102,U+0F7A6,\[DoubleStruckCapitalC]
MATHEMATICAL DOUBLE-STRUCK CAPITAL D,U+1D53B,U+0F7A7,\[DoubleStruckCapitalD]
MATHEMATICAL DOUBLE-STRUCK CAPITAL E,U+1D53C,U+0F7A8,\[DoubleStruckCapitalE]
MATHEMATICAL DOUBLE-STRUCK CAPITAL F,U+1D53D,U+0F7A9,\[DoubleStruckCapitalF]
MATHEMATICAL DOUBLE-STRUCK CAPITAL G,U+1D53E,U+0F7AA,\[DoubleStruckCapitalG]
DOUBLE-STRUCK CAPITAL H,U+0210D,U+0F7AB,\[DoubleStruckCapitalH]
MATHEMATICAL DOUBLE-STRUCK CAPITAL I,U+1D540,U+0F7AC,\[DoubleStruckCapitalI]
MATHEMATICAL DOUBLE-STRUCK CAPITAL J,U+1D541,U+0F7AD,\[DoubleStruckCapitalJ]
MATHEMATICAL DOUBLE-STRUCK CAPITAL K,U+1D542,U+0F7AE,\[DoubleStruckCapitalK]
MATHEMATICAL DOUBLE-STRUCK CAPITAL L,U+1D543,U+0F7AF,\[DoubleStruckCapitalL]
MATHEMATICAL DOUBLE-STRUCK CAPITAL M,U+1D544,U+0F7B0,\[DoubleStruckCapitalM]
DOUBLE-STRUCK CAPITAL N,U+02115,U+0F7B1,\[DoubleStruckCapitalN]
MATHEMATICAL DOUBLE-STRUCK CAPITAL O,U+1D546,U+0F7B2,\[DoubleStruckCapitalO]
DOUBLE-STRUCK CAPITAL P,U+02119,U+0F7B3,\[DoubleStruckCapitalP]
DOUBLE-STRUCK CAPITAL Q,U+0211A,U+0F7B4,\[DoubleStruckCapitalQ]
