WL named character,WL named character (Unicode representation),Unicode equivalent,Unicode equivalent name
\[CapitalDifferentialD],U+0F74B,U+1D437,MATHEMATICAL ITALIC CAPITAL D
\[CommandKey],U+0F76A,U+02318,PLACE OF INTEREST SIGN
\[ConstantC],U+0F7DA,U+1D554,MATHEMATICAL DOUBLE-STRUCK SMALL C
\[Continuation],U+0F3B1,U+022F1,DOWN RIGHT DIAGONAL ELLIPSIS
\[Cross],U+0F4A0,U+02A2F,VECTOR OR CROSS PRODUCT
\[DifferentialD],U+0F74C,U+1D451,MATHEMATICAL ITALIC SMALL D
\[DirectedEdge],U+0F3D5,U+02192,RIGHTWARDS ARROW
\[DiscreteRatio],U+0F4A4,U+003F4,GREEK CAPITAL THETA SYMBOL
\[DotlessJ],U+0F700,U+00237,LATIN SMALL LETTER DOTLESS J
\[DottedSquare],U+0F751,U+026F6,SQUARE FOUR CORNERS
\[DoubledGamma],U+0F74A,U+0213D,DOUBLE-STRUCK SMALL GAMMA
\[DoubledPi],U+0F749,U+0213C,DOUBLE-STRUCK SMALL PI
\[DoubleStruckA],U+0F6E6,U+1D552,MATHEMATICAL DOUBLE-STRUCK SMALL A
\[DoubleStruckB],U+0F6E7,U+1D553,MATHEMATICAL DOUBLE-STRUCK SMALL B
\[DoubleStruckC],U+0F6E8,U+1D554,MATHEMATICAL DOUBLE-STRUCK SMALL C
\[DoubleStruckCapitalA],U+0F7A4,U+1D538,MATHEMATICAL DOUBLE-STRUCK CAPITAL A
\[DoubleStruckCapitalB],U+0F7A5,U+1D539,MATHEMATICAL DOUBLE-STRUCK CAPITAL B
\[DoubleStruckCapitalC],U+0F7A6,U+02102,DOUBLE-STRUCK CAPITAL C
\[DoubleStruckCapitalD],U+0F7A7,U+1D53B,MATHEMATICAL DOUBLE-STRUCK CAPITAL D
\[DoubleStruckCapitalE],U+0F7A8,U+1D53C,MATHEMATICAL DOUBLE-STRUCK CAPITAL E
\[DoubleStruckCapitalF],U+0F7A9,U+1D53D,MATHEMATICAL DOUBLE-STRUCK CAPITAL F
\[DoubleStruckCapitalG],U+0F7AA,U+1D53E,MATHEMATICAL DOUBLE-STRUCK CAPITAL G
\[DoubleStruckCapitalH],U+0F7AB,U+0210D,DOUBLE-STRUCK CAPITAL H
\[DoubleStruckCapitalI],U+0F7AC,U+1D540,MATHEMATICAL DOUBLE-STRUCK CAPITAL I
\[DoubleStruckCapitalJ],U+0F7AD,U+1D541,MATHEMATICAL DOUBLE-STRUCK CAPITAL J
\[DoubleStruckCapitalK],U+0F7AE,U+1D542,MATHEMATICAL DOUBLE-STRUCK CAPITAL K
\[DoubleStruckCapitalL],U+0F7AF,U+1D543,MATHEMATICAL DOUBLE-STRUCK CAPITAL L
\[DoubleStruckCapitalM],U+0F7B0,U+1D544,MATHEMATICAL DOUBLE-STRUCK CAPITAL M
\[DoubleStruckCapitalN],U+0F7B1,U+02115,DOUBLE-STRUCK CAPITAL N
\[DoubleStruckCapitalO],U+0F7B2,U+1D546,MATHEMATICAL DOUBLE-STRUCK CAPITAL O
\[DoubleStruckCapitalP],U+0F7B3,U+02119,DOUBLE-STRUCK CAPITAL P
\[DoubleStruckCapitalQ],U+0F7B4,U+0211A,DOUBLE-STRUCK CAPITAL Q
\[DoubleStruckCapitalR],U+0F7B5,U+0211D,DOUBLE-STRUCK CAPITAL R
\[DoubleStruckCapitalS],U+0F7B6,U+1D54A,MATHEMATICAL DOUBLE-STRUCK CAPITAL S
\[DoubleStruckCapitalT],U+0F7B7,U+1D54B,MATHEMATICAL DOUBLE-STRUCK CAPITAL T
\[DoubleStruckCapitalU],U+0F7B8,U+1D54C,MATHEMATICAL DOUBLE-STRUCK CAPITAL U
\[DoubleStruckCapitalV],U+0F7B9,U+1D54D,MATHEMATICAL DOUBLE-STRUCK CAPITAL V
\[DoubleStruckCapitalW],U+0F7BA,U+1D54E,MATHEMATICAL DOUBLE-STRUCK CAPITAL W
\[DoubleStruckCapitalX],U+0F7BB,U+1D54F,MATHEMATICAL DOUBLE-STRUCK CAPITAL X
\[DoubleStruckCapitalY],U+0F7BC,U+1D550,MATHEMATICAL DOUBLE-STRUCK CAPITAL Y
\[DoubleStruckCapitalZ],U+0F7BD,U+02124,DOUBLE-STRUCK CAPITAL Z
\[DoubleStruckD],U+0F6E9,U+1D555,MATHEMATICAL DOUBLE-STRUCK SMALL D
\[DoubleStruckE],U+0F6EA,U+1D556,MATHEMATICAL DOUBLE-STRUCK SMALL E
\[DoubleStruckEight],U+0F7E3,U+1D7E0,MATHEMATICAL DOUBLE-STRUCK DIGIT EIGHT
\[DoubleStruckF],U+0F6EB,U+1D557,MATHEMATICAL DOUBLE-STRUCK SMALL F
\[DoubleStruckFive],U+0F7E0,U+1D7DD,MATHEMATICAL DOUBLE-STRUCK DIGIT FIVE
\[DoubleStruckFour],U+0F7DF,U+1D7DC,MATHEMATICAL DOUBLE-STRUCK DIGIT FOUR
\[DoubleStruckG],U+0F6EC,U+1D558,MATHEMATICAL DOUBLE-STRUCK SMALL G
\[DoubleStruckH],U+0F6ED,U+1D559,MATHEMATICAL DOUBLE-STRUCK SMALL H
\[DoubleStruckI],U+0F6EE,U+1D55A,MATHEMATICAL DOUBLE-STRUCK SMALL I
\[DoubleStruckJ],U+0F6EF,U+1D55B,MATHEMATICAL DOUBLE-STRUCK SMALL J
\[DoubleStruckK],U+0F6F0,U+1D55C,MATHEMATICAL DOUBLE-STRUCK SMALL K
\[DoubleStruckL],U+0F6F1,U+1D55D,MATHEMATICAL DOUBLE-STRUCK SMALL L
\[DoubleStruckM],U+0F6F2,U+1D55E,MATHEMATICAL DOUBLE-STRUCK SMALL M
\[DoubleStruckN],U+0F6F3,U+1D55F,MATHEMATICAL DOUBLE-STRUCK SMALL N
\[DoubleStruckNine],U+0F7E4,U+1D7E1,MATHEMATICAL DOUBLE-STRUCK DIGIT NINE
\[DoubleStruckO],U+0F6F4,U+1D560,MATHEMATICAL DOUBLE-STRUCK SMALL O
\[DoubleStruckOne],U+0F7DC,U+1D7D9,MATHEMATICAL DOUBLE-STRUCK DIGIT ONE
\[DoubleStruckP],U+0F6F5,U+1D561,MATHEMATICAL DOUBLE-STRUCK SMALL P
\[DoubleStruckQ],U+0F6F6,U+1D562,MATHEMATICAL DOUBLE-STRUCK SMALL Q
\[DoubleStruckR],U+0F6F7,U+1D563,MATHEMATICAL DOUBLE-STRUCK SMALL R
\[DoubleStruckS],U+0F6F8,U+1D564,MATHEMATICAL DOUBLE-STRUCK SMALL S
\[DoubleStruckSeven],U+0F7E2,U+1D7DF,MATHEMATICAL DOUBLE-STRUCK DIGIT SEVEN
\[DoubleStruckSix],U+0F7E1,U+1D7DE,MATHEMATICAL DOUBLE-STRUCK DIGIT SIX
\[DoubleStruckT],U+0F6F9,U+1D565,MATHEMATICAL DOUBLE-STRUCK SMALL T
\[DoubleStruckThree],U+0F7DE,U+1D7DB,MATHEMATICAL DOUBLE-STRUCK DIGIT THREE
